Commodity,Year,Week,Origin,DepartureTime,Destination,ArrivalTime,ContainerType,ContainerSize,Owner,Count,Truncated,FinalDestination,ContractType
DLAY_1_IS GRT_IS REY,2025,2,IS GRT,66,IS REY,496,22G1,20.0,CARRIER,1,True,US PWM,
DLAY_26_CA HAL_IS REY,2025,4,CA HAL,141,IS REY,496,45R1,40.0,CARRIER,1,True,DE BRV,
DLAY_38_DK AAR_IS REY,2025,4,DK AAR,110,IS REY,496,22G1,20.0,CARRIER,1,True,US PWM,
DLAY_121_US PWM_IS REY,2025,4,US PWM,84,IS REY,496,22G1,20.0,CARRIER,1,True,GB IMM,
DLAY_122_US PWM_IS REY,2025,4,US PWM,84,IS REY,496,45G1,40.0,CARRIER,1,True,NL RTM,
DLAY_123_US PWM_IS REY,2025,4,US PWM,84,IS REY,496,22G1,20.0,CARRIER,1,True,DE BRV,
DLAY_126_CA NWP_IS REY,2025,5,CA NWP,186,IS REY,496,22G1,20.0,CARRIER,1,True,NL RTM,
DLAY_127_CA NWP_IS REY,2025,5,CA NWP,186,IS REY,496,22G1,20.0,CARRIER,1,True,DK AAR,
DLAY_128_CA NWP_IS REY,2025,5,CA NWP,186,IS REY,496,22G1,20.0,CARRIER,2,True,NL RTM,
DLAY_131_CA NWP_IS REY,2025,5,CA NWP,186,IS REY,496,22G1,20.0,LEASED,2,True,SE HEL,
DLAY_143_DE BRV_IS REY,2025,5,DE BRV,196,IS REY,496,22G1,20.0,LEASED,1,True,US PWM,
DLAY_169_FO THO_IS REY,2025,5,FO THO,124,IS REY,496,22R1,20.0,LEASED,1,True,NL RTM,
DLAY_179_GB TEE_IS REY,2025,5,GB TEE,264,IS REY,496,22G1,20.0,CARRIER,1,True,CA HAL,
DLAY_182_GB TEE_IS REY,2025,5,GB TEE,264,IS REY,496,22G1,20.0,CARRIER,1,True,US PWM,
DLAY_239_NO FRK_IS REY,2025,5,NO FRK,232,IS REY,496,22G1,20.0,CARRIER,2,True,CA NWP,
TLEG_0_IS REY_US PWM,2025,4,IS REY,321,US PWM,463,22G1,20.0,Carrier,14,False,US PWM,
TLEG_1_IS REY_NL RTM,2025,4,IS REY,321,NL RTM,503,45R1,40.0,Carrier,2,False,NL RTM,
TLEG_2_IS REY_DK AAR,2025,4,IS REY,321,DK AAR,447,45R1,40.0,Carrier,2,False,DK AAR,
TLEG_4_IS REY_GB IMM,2025,4,IS REY,321,GB IMM,343,45R1,40.0,Carrier,1,False,GB IMM,
TLEG_5_IS REY_DE BRV,2025,4,IS REY,321,DE BRV,359,45R1,40.0,Carrier,1,False,DE BRV,
TLEG_7_IS REY_CA HAL,2025,4,IS REY,321,CA HAL,352,45R1,40.0,Leased,1,False,CA HAL,
TLEG_8_IS REY_NL RTM,2025,4,IS REY,321,NL RTM,503,45G1,40.0,Leased,1,False,NL RTM,
TLEG_9_IS REY_NL RTM,2025,4,IS REY,321,NL RTM,503,22K0,20.0,Shipper,1,False,NL RTM,
TLEG_10_IS REY_US PWM,2025,4,IS REY,321,US PWM,463,45G1,40.0,Shipper,1,False,US PWM,
TLEG_11_IS REY_US PWM,2025,4,IS REY,321,US PWM,463,45R1,40.0,Leased,1,False,US PWM,
TLEG_12_IS REY_US PWM,2025,4,IS REY,321,US PWM,463,45R1,40.0,Carrier,7,False,US PWM,
TLEG_13_FO THO_IS REY,2025,4,FO THO,333,IS REY,496,45R1,40.0,Carrier,2,False,IS REY,
TLEG_14_IS REY_FO THO,2025,4,IS REY,321,FO THO,503,22U1,20.0,Carrier,1,False,FO THO,
TLEG_15_IS REY_US PWM,2025,4,IS REY,68,US PWM,463,22G1,20.0,Carrier,1,False,US PWM,
TLEG_16_IS REY_CA HAL,2025,4,IS REY,4,CA HAL,352,45R1,40.0,Carrier,1,False,CA HAL,
TLEG_17_IS REY_CA NWP,2025,4,IS REY,36,CA NWP,186,42P3,40.0,Carrier,1,False,CA NWP,
TLEG_18_IS REY_GB IMM,2025,4,IS REY,198,GB IMM,343,45G1,40.0,Carrier,1,False,GB IMM,
TLEG_19_IS REY_DE BRV,2025,4,IS REY,313,DE BRV,359,45R1,40.0,Carrier,2,False,DE BRV,
TLEG_20_IS REY_CA HAL,2025,4,IS REY,205,CA HAL,352,45R1,40.0,Carrier,1,False,CA HAL,
TLEG_22_IS REY_GB IMM,2025,4,IS REY,313,GB IMM,343,22G1,20.0,Carrier,1,False,GB IMM,
TLEG_23_IS REY_NL RTM,2025,4,IS REY,313,NL RTM,503,45G1,40.0,Carrier,1,False,NL RTM,
TLEG_24_IS REY_DE BRV,2025,4,IS REY,313,DE BRV,359,22G1,20.0,Carrier,1,False,DE BRV,
TLEG_25_IS REY_NL RTM,2025,4,IS REY,313,NL RTM,503,22G1,20.0,Carrier,3,False,NL RTM,
TLEG_26_IS REY_DK AAR,2025,4,IS REY,313,DK AAR,447,22G1,20.0,Carrier,1,False,DK AAR,
TLEG_27_IS REY_GB IMM,2025,4,IS REY,313,GB IMM,343,45R1,40.0,Carrier,1,False,GB IMM,
TLEG_28_IS REY_SE HEL,2025,4,IS REY,313,SE HEL,407,22G1,20.0,Leased,2,False,SE HEL,
TLEG_29_IS REY_US PWM,2025,4,IS REY,342,US PWM,463,45G1,40.0,Carrier,4,False,US PWM,
TLEG_30_IS REY_US PWM,2025,4,IS REY,342,US PWM,463,42P3,40.0,Carrier,1,False,US PWM,
TLEG_32_IS REY_US PWM,2025,4,IS REY,342,US PWM,463,22G1,20.0,Leased,1,False,US PWM,
TLEG_35_IS REY_CA HAL,2025,4,IS REY,342,CA HAL,352,45G1,40.0,Carrier,1,False,CA HAL,
TLEG_36_IS REY_CA HAL,2025,4,IS REY,342,CA HAL,352,22G1,20.0,Carrier,2,False,CA HAL,
TLEG_38_IS REY_NL RTM,2025,4,IS REY,386,NL RTM,503,22R1,20.0,Leased,1,False,NL RTM,
TLEG_39_IS REY_NL RTM,2025,4,IS REY,386,NL RTM,503,45R1,40.0,Carrier,1,False,NL RTM,
TLEG_40_IS REY_US PWM,2025,4,IS REY,386,US PWM,463,45R1,40.0,Carrier,1,False,US PWM,
TLEG_41_IS REY_CA HAL,2025,4,IS REY,321,CA HAL,352,22G1,20.0,Carrier,1,False,CA HAL,
TLEG_43_IS REY_SE HEL,2025,4,IS REY,321,SE HEL,407,45R1,40.0,Carrier,1,False,SE HEL,
TLEG_44_IS REY_IS GRT,2025,4,IS REY,386,IS GRT,401,45G1,40.0,Carrier,1,False,IS GRT,
TLEG_48_IS REY_NL RTM,2025,4,IS REY,496,NL RTM,503,45G1,40.0,Carrier,8,False,NL RTM,
TLEG_51_IS REY_NL RTM,2025,4,IS REY,496,NL RTM,503,45R1,40.0,Carrier,1,False,NL RTM,
TLEG_56_IS REY_CA HAL,2025,4,IS REY,156,CA HAL,352,45R1,40.0,Carrier,3,False,CA HAL,
TLEG_57_IS REY_DE BRV,2025,4,IS REY,198,DE BRV,359,45R1,40.0,Carrier,2,False,DE BRV,
TLEG_58_IS REY_DE BRV,2025,4,IS REY,198,DE BRV,359,45G1,40.0,Carrier,2,False,DE BRV,
TLEG_59_IS REY_DE BRV,2025,4,IS REY,313,DE BRV,359,45R1,40.0,Carrier,2,False,DE BRV,
TLEG_60_IS REY_CA HAL,2025,4,IS REY,205,CA HAL,352,45R1,40.0,Carrier,2,False,CA HAL,
TLEG_62_IS REY_DE BRV,2025,4,IS REY,313,DE BRV,359,22G1,20.0,Carrier,1,False,DE BRV,
TLEG_63_IS REY_NL RTM,2025,4,IS REY,386,NL RTM,503,22R1,20.0,Leased,1,False,NL RTM,
TLEG_64_IS REY_NL RTM,2025,4,IS REY,386,NL RTM,503,45R1,40.0,Carrier,1,False,NL RTM,
TLEG_65_IS REY_US PWM,2025,4,IS REY,386,US PWM,463,45R1,40.0,Carrier,1,False,US PWM,
CARRY_12_IS REY_FO THO,2025,4,IS REY,4,FO THO,503,45G1,40.0,Leased,1,False,FO THO,
CARRY_14_IS REY_IS GRT,2025,4,IS REY,4,IS GRT,401,45G1,40.0,Carrier,1,False,IS GRT,
CARRY_15_IS REY_NL RTM,2025,4,IS REY,4,NL RTM,503,22K2,20.0,Shipper,1,False,NL RTM,
CARRY_16_IS REY_NL RTM,2025,4,IS REY,4,NL RTM,503,22K0,20.0,Shipper,1,False,NL RTM,
CARRY_19_CA NWP_IS REY,2025,4,CA NWP,62,IS REY,496,45R1,40.0,Carrier,9,False,IS REY,
CARRY_20_CA NWP_NL RTM,2025,4,CA NWP,62,NL RTM,503,45G1,40.0,Leased,1,False,NL RTM,
CARRY_21_CA NWP_NL RTM,2025,4,CA NWP,62,NL RTM,503,45R1,40.0,Carrier,5,False,NL RTM,
CARRY_22_CA NWP_IS REY,2025,4,CA NWP,62,IS REY,496,22G1,20.0,Carrier,1,False,IS REY,
CARRY_23_CA NWP_IS REY,2025,4,CA NWP,62,IS REY,496,45G1,40.0,Carrier,1,False,IS REY,
CARRY_24_CA NWP_GB IMM,2025,4,CA NWP,62,GB IMM,343,45G1,40.0,Carrier,1,False,GB IMM,
CARRY_25_CA NWP_IS RFJ,2025,4,CA NWP,62,IS RFJ,266,45R1,40.0,Carrier,2,False,IS RFJ,
CARRY_26_CA NWP_GB IMM,2025,4,CA NWP,62,GB IMM,343,45R1,40.0,Carrier,2,False,GB IMM,
CARRY_27_CA NWP_IS REY,2025,4,CA NWP,62,IS REY,496,42P3,40.0,Carrier,1,False,IS REY,
CARRY_28_CA NWP_IS REY,2025,4,CA NWP,62,IS REY,496,22K0,20.0,Shipper,1,False,IS REY,
CARRY_29_CA NWP_IS REY,2025,4,CA NWP,62,IS REY,496,45G1,40.0,Leased,1,False,IS REY,
CARRY_30_CA NWP_NL RTM,2025,4,CA NWP,62,NL RTM,503,22K0,20.0,Shipper,1,False,NL RTM,
CARRY_31_IS REY_SE HEL,2025,4,IS REY,156,SE HEL,407,45P3,40.0,Carrier,1,False,SE HEL,
CARRY_32_IS REY_US PWM,2025,4,IS REY,156,US PWM,463,45G1,40.0,Carrier,1,False,US PWM,
CARRY_33_IS REY_US PWM,2025,4,IS REY,68,US PWM,463,22G1,20.0,Carrier,1,False,US PWM,
CARRY_34_IS REY_DK AAR,2025,4,IS REY,198,DK AAR,447,45R1,40.0,Carrier,4,False,DK AAR,
CARRY_35_IS REY_CA NWP,2025,4,IS REY,4,CA NWP,186,45U1,40.0,Carrier,2,False,CA NWP,
CARRY_36_IS REY_CA HAL,2025,4,IS REY,4,CA HAL,352,45R1,40.0,Carrier,4,False,CA HAL,
CARRY_37_IS REY_US PWM,2025,4,IS REY,36,US PWM,463,45R1,40.0,Carrier,4,False,US PWM,
CARRY_38_IS REY_CA NWP,2025,4,IS REY,36,CA NWP,186,42P3,40.0,Carrier,2,False,CA NWP,
CARRY_39_IS REY_US PWM,2025,4,IS REY,205,US PWM,463,45G1,40.0,Carrier,2,False,US PWM,
CARRY_40_IS REY_US PWM,2025,4,IS REY,205,US PWM,463,22G1,20.0,Carrier,2,False,US PWM,
CARRY_41_IS REY_US PWM,2025,4,IS REY,205,US PWM,463,45R1,40.0,Carrier,2,False,US PWM,
CARRY_42_IS REY_CA NWP,2025,4,IS REY,156,CA NWP,186,45G1,40.0,Carrier,1,False,CA NWP,
CARRY_43_IS REY_US PWM,2025,4,IS REY,156,US PWM,463,22G1,20.0,Carrier,1,False,US PWM,
CARRY_44_IS REY_US PWM,2025,4,IS REY,156,US PWM,463,45R1,40.0,Carrier,1,False,US PWM,
CARRY_45_FO THO_IS REY,2025,4,FO THO,121,IS REY,496,45R1,40.0,Carrier,1,False,IS REY,
CARRY_46_FO THO_IS REY,2025,4,FO THO,119,IS REY,496,45R1,40.0,Carrier,1,False,IS REY,
CARRY_47_IS REY_GB IMM,2025,4,IS REY,313,GB IMM,343,22G1,20.0,Carrier,1,False,GB IMM,
CARRY_48_IS REY_NL RTM,2025,4,IS REY,313,NL RTM,503,45G1,40.0,Carrier,1,False,NL RTM,
CARRY_49_IS REY_US PWM,2025,4,IS REY,0,US PWM,463,45R1,40.0,Carrier,5,False,US PWM,
CARRY_50_IS REY_DK AAR,2025,4,IS REY,0,DK AAR,447,22G1,20.0,Carrier,1,False,DK AAR,
