Commodity,Year,Week,Origin,DepartureTime,Destination,ArrivalTime,ContainerType,ContainerSize,Owner,Count,Truncated,FinalDestination,ContractType
DLAY_0_IS GRT_IS REY,2025,4,IS GRT,65,IS REY,493,22G1,20.0,CARRIER,1,True,US PWM,
DLAY_5_IS GRT_IS REY,2025,5,IS GRT,234,IS REY,493,22G1,20.0,LEASED,1,True,GB IMM,
DLAY_101_PL SWI_IS REY,2025,6,PL SWI,86,IS REY,493,45G1,40.0,CARRIER,1,True,IS VES,
DLAY_217_NL RTM_IS REY,2025,7,NL RTM,235,IS REY,493,4EG1,40.0,LEASED,1,True,IS RFJ,
DLAY_220_NL RTM_IS REY,2025,7,NL RTM,235,IS REY,493,22K0,20.0,SHIPPER,1,True,US PWM,
TLEG_0_IS REY_GB IMM,2025,6,IS REY,324,GB IMM,498,45P3,40.0,Carrier,1,False,GB IMM,
TLEG_1_IS REY_IS VES,2025,6,IS REY,324,IS VES,412,4EG1,40.0,Carrier,3,False,IS VES,
TLEG_2_IS REY_US PWM,2025,6,IS REY,324,US PWM,468,45R1,40.0,Carrier,2,False,US PWM,
TLEG_3_IS REY_NL RTM,2025,6,IS REY,324,NL RTM,499,45R1,40.0,Carrier,1,False,NL RTM,
TLEG_4_IS REY_GB IMM,2025,6,IS REY,324,GB IMM,498,45G1,40.0,Carrier,1,False,GB IMM,
TLEG_5_IS REY_NL RTM,2025,6,IS REY,324,NL RTM,499,22G1,20.0,Carrier,1,False,NL RTM,
TLEG_6_IS REY_US PWM,2025,6,IS REY,324,US PWM,468,45G1,40.0,Carrier,6,False,US PWM,
TLEG_7_IS REY_US PWM,2025,6,IS REY,324,US PWM,468,22G1,20.0,Carrier,1,False,US PWM,
TLEG_8_IS REY_IS VES,2025,6,IS REY,324,IS VES,412,45G1,40.0,Carrier,1,False,IS VES,
TLEG_9_IS REY_IS GRT,2025,6,IS REY,324,IS GRT,402,22G1,20.0,Carrier,1,False,IS GRT,
TLEG_10_IS REY_US PWM,2025,6,IS REY,80,US PWM,468,22G1,20.0,Carrier,1,False,US PWM,
TLEG_11_IS REY_CA HAL,2025,6,IS REY,6,CA HAL,501,22G1,20.0,Carrier,1,False,CA HAL,
TLEG_12_IS REY_GB IMM,2025,6,IS REY,236,GB IMM,498,22G1,20.0,Leased,1,False,GB IMM,
TLEG_13_IS REY_US PWM,2025,6,IS REY,0,US PWM,468,22G1,20.0,Carrier,7,False,US PWM,
TLEG_14_IS REY_DK AAR,2025,6,IS REY,160,DK AAR,469,45R1,40.0,Carrier,1,False,DK AAR,
TLEG_15_IS REY_CA HAL,2025,6,IS REY,176,CA HAL,501,45G1,40.0,Carrier,1,False,CA HAL,
TLEG_16_IS REY_US PWM,2025,6,IS REY,176,US PWM,468,45G1,40.0,Carrier,1,False,US PWM,
TLEG_17_IS REY_CA NWP,2025,6,IS REY,202,CA NWP,476,45R1,40.0,Carrier,3,False,CA NWP,
TLEG_18_IS REY_CA HAL,2025,6,IS REY,202,CA HAL,501,45R1,40.0,Carrier,1,False,CA HAL,
TLEG_19_IS REY_US PWM,2025,6,IS REY,202,US PWM,468,45R1,40.0,Carrier,2,False,US PWM,
TLEG_20_IS REY_CA NWP,2025,6,IS REY,156,CA NWP,476,45P3,40.0,Carrier,1,False,CA NWP,
TLEG_21_IS REY_US PWM,2025,6,IS REY,156,US PWM,468,45R1,40.0,Carrier,1,False,US PWM,
TLEG_22_IS REY_IS VES,2025,6,IS REY,202,IS VES,412,45G1,40.0,Carrier,1,False,IS VES,
