Commodity,Year,Week,Origin,DepartureTime,Destination,ArrivalTime,ContainerType,ContainerSize,Owner,Count,Truncated,FinalDestination,ContractType
DLAY_0_IS GRT_IS REY,2025,1,IS GRT,66,IS REY,489,22G1,20.0,CARRIER,1,True,US PWM,
DLAY_1_IS GRT_IS REY,2025,1,IS GRT,66,IS REY,489,22G1,20.0,CARRIER,1,True,US PWM,
DLAY_21_CA HAL_IS REY,2025,3,CA HAL,166,IS REY,489,45R1,40.0,CARRIER,2,True,NL RTM,
DLAY_22_CA HAL_IS REY,2025,3,CA HAL,166,IS REY,489,45R1,40.0,CARRIER,1,True,DK AAR,
DLAY_23_CA HAL_IS REY,2025,3,CA HAL,166,IS REY,489,45R1,40.0,CARRIER,1,True,IS RFJ,
DLAY_24_CA HAL_IS REY,2025,3,CA HAL,166,IS REY,489,45R1,40.0,CARRIER,1,True,GB IMM,
DLAY_25_CA HAL_IS REY,2025,3,CA HAL,166,IS REY,489,45R1,40.0,CARRIER,1,True,DE BRV,
DLAY_26_CA HAL_IS REY,2025,3,CA HAL,166,IS REY,489,45R1,40.0,CARRIER,1,True,DK AAR,
DLAY_27_CA HAL_IS REY,2025,3,CA HAL,166,IS REY,489,45R1,40.0,CARRIER,1,True,IS RFJ,
DLAY_34_DE BRV_IS REY,2025,3,DE BRV,17,IS REY,489,45U1,40.0,CARRIER,1,True,CA NWP,
DLAY_54_DK AAR_IS REY,2025,3,DK AAR,93,IS REY,489,45R1,40.0,LEASED,1,True,CA HAL,
DLAY_127_US PWM_IS REY,2025,3,US PWM,132,IS REY,489,45G1,40.0,LEASED,1,True,NL RTM,
DLAY_128_US PWM_IS REY,2025,3,US PWM,132,IS REY,489,22K0,20.0,SHIPPER,1,True,NL RTM,
DLAY_139_DE BRV_IS REY,2025,4,DE BRV,206,IS REY,489,22G1,20.0,CARRIER,1,True,US PWM,
DLAY_141_DE BRV_IS REY,2025,4,DE BRV,206,IS REY,489,45G1,40.0,SHIPPER,1,True,US PWM,
DLAY_154_FO THO_IS REY,2025,4,FO THO,116,IS REY,489,45R1,40.0,LEASED,1,True,US PWM,
DLAY_160_GB TEE_IS REY,2025,4,GB TEE,262,IS REY,489,22G1,20.0,CARRIER,1,True,US PWM,
DLAY_161_GB TEE_IS REY,2025,4,GB TEE,262,IS REY,489,45R1,40.0,CARRIER,1,True,US PWM,
DLAY_198_IS RFJ_FO THO,2025,4,IS RFJ,268,FO THO,501,45R1,40.0,CARRIER,1,True,IS REY,
DLAY_200_IS VES_FO THO,2025,4,IS VES,259,FO THO,501,45R1,40.0,CARRIER,1,True,IS REY,
DLAY_207_NL RTM_IS REY,2025,4,NL RTM,238,IS REY,489,22U1,20.0,CARRIER,1,True,FO THO,
TLEG_0_IS REY_SE HEL,2025,3,IS REY,324,SE HEL,407,45P3,40.0,Carrier,1,False,SE HEL,
TLEG_1_IS REY_GB IMM,2025,3,IS REY,324,GB IMM,504,22G1,20.0,Leased,1,False,GB IMM,
TLEG_2_IS REY_FO THO,2025,3,IS REY,324,FO THO,501,22G1,20.0,Leased,1,False,FO THO,
TLEG_4_IS REY_IS VES,2025,3,IS REY,324,IS VES,431,45R1,40.0,Carrier,1,False,IS VES,
TLEG_5_IS REY_FO THO,2025,3,IS REY,324,FO THO,501,45R1,40.0,Carrier,1,False,FO THO,
TLEG_6_IS REY_NL RTM,2025,3,IS REY,324,NL RTM,503,22K2,20.0,Shipper,1,False,NL RTM,
TLEG_7_IS REY_US PWM,2025,3,IS REY,324,US PWM,472,45G1,40.0,Carrier,1,False,US PWM,
TLEG_8_IS REY_US PWM,2025,3,IS REY,68,US PWM,472,22G1,20.0,Carrier,2,False,US PWM,
TLEG_9_IS REY_US PWM,2025,3,IS REY,236,US PWM,472,22G1,20.0,Carrier,1,False,US PWM,
TLEG_10_IS REY_NL RTM,2025,3,IS REY,366,NL RTM,503,45R1,40.0,Carrier,5,False,NL RTM,
TLEG_11_IS REY_DK AAR,2025,3,IS REY,366,DK AAR,447,45R1,40.0,Carrier,2,False,DK AAR,
TLEG_12_IS REY_IS RFJ,2025,3,IS REY,366,IS RFJ,434,45R1,40.0,Carrier,2,False,IS RFJ,
TLEG_13_IS REY_GB IMM,2025,3,IS REY,366,GB IMM,504,45R1,40.0,Carrier,2,False,GB IMM,
TLEG_15_IS REY_US PWM,2025,3,IS REY,172,US PWM,472,45G1,40.0,Carrier,1,False,US PWM,
TLEG_16_IS REY_US PWM,2025,3,IS REY,172,US PWM,472,42P3,40.0,Carrier,1,False,US PWM,
TLEG_17_IS REY_CA NWP,2025,3,IS REY,172,CA NWP,354,45U1,40.0,Carrier,1,False,CA NWP,
TLEG_18_IS REY_CA HAL,2025,3,IS REY,172,CA HAL,309,45R1,40.0,Carrier,1,False,CA HAL,
TLEG_19_IS REY_CA HAL,2025,3,IS REY,172,CA HAL,309,45R1,40.0,Leased,1,False,CA HAL,
