Commodity,Year,Week,Origin,DepartureTime,Destination,ArrivalTime,ContainerType,ContainerSize,Owner,Count,Truncated,FinalDestination,ContractType
DLAY_9_IS GRT_IS REY,2025,4,IS GRT,233,IS REY,492,45P3,40.0,CARRIER,1,True,GB IMM,
DLAY_114_NL RTM_IS REY,2025,5,NL RTM,67,IS REY,492,4EG1,40.0,CARRIER,1,True,IS VES,
DLAY_124_NL RTM_IS REY,2025,5,NL RTM,67,IS REY,492,45R1,40.0,CARRIER,1,True,US PWM,
DLAY_151_US PWM_IS REY,2025,5,US PWM,136,IS REY,492,45R1,40.0,CARRIER,1,True,NL RTM,
DLAY_153_CA HAL_IS REY,2025,6,CA HAL,184,IS REY,492,45G1,40.0,CARRIER,1,True,GB IMM,
DLAY_172_DK AAR_IS REY,2025,6,DK AAR,263,IS REY,492,45R1,40.0,CARRIER,1,True,US PWM,
DLAY_179_FO THO_IS REY,2025,6,FO THO,124,IS REY,492,22G1,20.0,CARRIER,1,True,NL RTM,
DLAY_188_GB TEE_IS REY,2025,6,GB TEE,263,IS REY,492,45G1,40.0,CARRIER,1,True,US PWM,
DLAY_190_GB TEE_IS REY,2025,6,GB TEE,263,IS REY,492,22G1,20.0,CARRIER,1,True,US PWM,
DLAY_216_NL RTM_IS REY,2025,6,NL RTM,233,IS REY,492,45G1,40.0,CARRIER,1,True,US PWM,
DLAY_217_NL RTM_IS REY,2025,6,NL RTM,233,IS REY,492,45G1,40.0,CARRIER,1,True,IS VES,
DLAY_218_NL RTM_IS REY,2025,6,NL RTM,233,IS REY,492,45G1,40.0,CARRIER,1,True,US PWM,
DLAY_220_NL RTM_IS REY,2025,6,NL RTM,233,IS REY,492,4EG1,40.0,CARRIER,2,True,IS VES,
DLAY_238_SE HEL_IS REY,2025,6,SE HEL,239,IS REY,492,22G1,20.0,CARRIER,1,True,IS GRT,
TLEG_0_IS REY_US PWM,2025,5,IS REY,328,US PWM,471,22G1,20.0,Carrier,3,False,US PWM,
TLEG_1_IS REY_DE BRV,2025,5,IS REY,328,DE BRV,372,45R1,40.0,Carrier,1,False,DE BRV,
TLEG_2_IS REY_GB IMM,2025,5,IS REY,328,GB IMM,404,22G1,20.0,Carrier,2,False,GB IMM,
TLEG_3_IS REY_NL RTM,2025,5,IS REY,328,NL RTM,403,45G1,40.0,Carrier,9,False,NL RTM,
TLEG_4_IS REY_DE BRV,2025,5,IS REY,328,DE BRV,372,22G1,20.0,Carrier,3,False,DE BRV,
TLEG_5_IS REY_NL RTM,2025,5,IS REY,328,NL RTM,403,22G1,20.0,Carrier,3,False,NL RTM,
TLEG_6_IS REY_DK AAR,2025,5,IS REY,328,DK AAR,473,22G1,20.0,Carrier,1,False,DK AAR,
TLEG_7_IS REY_SE HEL,2025,5,IS REY,328,SE HEL,410,22G1,20.0,Leased,2,False,SE HEL,
TLEG_8_IS REY_US PWM,2025,5,IS REY,328,US PWM,471,22G1,20.0,Leased,1,False,US PWM,
TLEG_9_IS REY_NL RTM,2025,5,IS REY,328,NL RTM,403,22R1,20.0,Leased,1,False,NL RTM,
TLEG_10_IS REY_CA HAL,2025,5,IS REY,328,CA HAL,387,22G1,20.0,Carrier,1,False,CA HAL,
