Commodity,Year,Week,Origin,DepartureTime,Destination,ArrivalTime,ContainerType,ContainerSize,Owner,Count,Truncated,FinalDestination,ContractType
DLAY_12_IS GRT_IS REY,2025,9,IS GRT,234,IS REY,492,22G1,20.0,LEASED,1,True,GB IMM,
DLAY_116_NL RTM_IS REY,2025,10,NL RTM,65,IS REY,492,LNRB,45.0,CARRIER,1,True,IS VES,
DLAY_118_NL RTM_IS REY,2025,10,NL RTM,65,IS REY,492,LNRB,45.0,CARRIER,1,True,IS RFJ,
DLAY_132_PL SWI_IS REY,2025,10,PL SWI,72,IS REY,492,22G1,20.0,LEASED,1,True,IS GRT,
DLAY_183_FO THO_IS REY,2025,11,FO THO,118,IS REY,492,4EG1,40.0,CARRIER,1,True,NL RTM,
DLAY_187_GB TEE_IS REY,2025,11,GB TEE,274,IS REY,492,42U1,40.0,CARRIER,1,True,SE HEL,
DLAY_228_NL RTM_IS REY,2025,11,NL RTM,233,IS REY,492,45P3,40.0,CARRIER,1,True,IS VES,
DLAY_229_NL RTM_IS REY,2025,11,NL RTM,233,IS REY,492,LNRB,45.0,CARRIER,1,True,IS RFJ,
DLAY_242_NO FRK_IS REY,2025,11,NO FRK,232,IS REY,492,42P3,40.0,LEASED,1,True,IS VES,
TLEG_0_IS REY_SE HEL,2025,10,IS REY,328,SE HEL,404,45P3,40.0,Carrier,4,False,SE HEL,
TLEG_1_IS REY_US PWM,2025,10,IS REY,328,US PWM,404,22G1,20.0,Carrier,1,False,US PWM,
TLEG_2_IS REY_US PWM,2025,10,IS REY,328,US PWM,404,22G1,20.0,Leased,1,False,US PWM,
TLEG_3_IS REY_DK AAR,2025,10,IS REY,328,DK AAR,447,22G1,20.0,Carrier,3,False,DK AAR,
TLEG_4_IS REY_CA NWP,2025,10,IS REY,328,CA NWP,501,45G1,40.0,Carrier,2,False,CA NWP,
TLEG_5_IS REY_US PWM,2025,10,IS REY,328,US PWM,404,45G1,40.0,Carrier,6,False,US PWM,
TLEG_6_IS REY_GB IMM,2025,10,IS REY,328,GB IMM,339,45R1,40.0,Carrier,1,False,GB IMM,
TLEG_7_IS REY_US PWM,2025,10,IS REY,328,US PWM,404,45R1,40.0,Carrier,4,False,US PWM,
TLEG_8_IS REY_CA NWP,2025,10,IS REY,328,CA NWP,501,45P3,40.0,Carrier,2,False,CA NWP,
TLEG_9_IS REY_NL RTM,2025,10,IS REY,328,NL RTM,498,45U1,40.0,Carrier,1,False,NL RTM,
TLEG_10_IS REY_NL RTM,2025,10,IS REY,328,NL RTM,498,45G1,40.0,Carrier,1,False,NL RTM,
TLEG_11_IS REY_US PWM,2025,10,IS REY,328,US PWM,404,45R1,40.0,Leased,1,False,US PWM,
TLEG_12_IS REY_FO THO,2025,10,IS REY,328,FO THO,504,42P3,40.0,Leased,1,False,FO THO,
TLEG_13_IS REY_IS VES,2025,10,IS REY,328,IS VES,418,42P3,40.0,Carrier,1,False,IS VES,
TLEG_14_IS REY_US PWM,2025,10,IS REY,236,US PWM,404,22G1,20.0,Carrier,1,False,US PWM,
TLEG_15_IS REY_GB IMM,2025,10,IS REY,236,GB IMM,339,22G1,20.0,Leased,1,False,GB IMM,
TLEG_16_IS REY_US PWM,2025,10,IS REY,375,US PWM,404,45R1,40.0,Carrier,4,False,US PWM,
TLEG_17_IS REY_IS VES,2025,10,IS REY,156,IS VES,418,LNRB,45.0,Carrier,1,False,IS VES,
TLEG_18_IS REY_US PWM,2025,10,IS REY,156,US PWM,404,45R1,40.0,Carrier,1,False,US PWM,
TLEG_19_IS REY_IS RFJ,2025,10,IS REY,156,IS RFJ,430,LNRB,45.0,Carrier,1,False,IS RFJ,
TLEG_20_IS REY_NL RTM,2025,10,IS REY,456,NL RTM,498,45G1,40.0,Carrier,3,False,NL RTM,
TLEG_21_IS REY_NL RTM,2025,10,IS REY,456,NL RTM,498,45R1,40.0,Carrier,1,False,NL RTM,
TLEG_24_IS REY_NL RTM,2025,10,IS REY,456,NL RTM,498,45R1,40.0,Leased,1,False,NL RTM,
TLEG_25_IS REY_US PWM,2025,10,IS REY,342,US PWM,404,45P3,40.0,Carrier,2,False,US PWM,
TLEG_26_IS REY_IS RFJ,2025,10,IS REY,342,IS RFJ,430,22G1,20.0,Carrier,1,False,IS RFJ,
TLEG_27_IS REY_IS RFJ,2025,10,IS REY,342,IS RFJ,430,45G1,40.0,Carrier,1,False,IS RFJ,
TLEG_28_IS REY_IS VES,2025,10,IS REY,342,IS VES,418,22G1,20.0,Carrier,1,False,IS VES,
TLEG_29_IS REY_US PWM,2025,10,IS REY,342,US PWM,404,45R1,40.0,Carrier,1,False,US PWM,
TLEG_30_IS REY_NL RTM,2025,10,IS REY,375,NL RTM,498,4EG1,40.0,Carrier,1,False,NL RTM,
TLEG_31_IS REY_CA HAL,2025,10,IS REY,375,CA HAL,451,45R1,40.0,Carrier,2,False,CA HAL,
TLEG_32_IS REY_CA NWP,2025,10,IS REY,328,CA NWP,501,42P3,40.0,Carrier,1,False,CA NWP,
TLEG_33_IS REY_SE HEL,2025,10,IS REY,328,SE HEL,404,42U1,40.0,Carrier,1,False,SE HEL,
