Commodity,Year,Week,Origin,DepartureTime,Destination,ArrivalTime,ContainerType,ContainerSize,Owner,Count,Truncated,FinalDestination,ContractType
DLAY_9_IS GRT_IS REY,2025,7,IS GRT,234,IS REY,492,22G1,20.0,CARRIER,1,True,GB IMM,
DLAY_10_IS GRT_IS REY,2025,7,IS GRT,234,IS REY,492,22G1,20.0,CARRIER,1,True,GB IMM,
DLAY_29_DE BRV_IS REY,2025,8,DE BRV,27,IS REY,492,42P3,40.0,CARRIER,1,True,IS VES,
DLAY_34_DE BRV_IS REY,2025,8,DE BRV,27,IS REY,492,42P3,40.0,LEASED,1,True,IS VES,
DLAY_73_FO THO_IS REY,2025,8,FO THO,135,IS REY,492,22G1,20.0,CARRIER,1,True,CA NWP,
DLAY_74_FO THO_IS REY,2025,8,FO THO,135,IS REY,492,45R1,40.0,CARRIER,1,True,US PWM,
DLAY_79_GB IMM_IS REY,2025,8,GB IMM,28,IS REY,492,45R1,40.0,CARRIER,1,True,US PWM,
DLAY_80_GB TEE_IS REY,2025,8,GB TEE,93,IS REY,492,42P3,40.0,CARRIER,1,True,IS VES,
DLAY_81_GB TEE_IS REY,2025,8,GB TEE,93,IS REY,492,22G1,20.0,CARRIER,1,True,CA HAL,
DLAY_82_GB TEE_IS REY,2025,8,GB TEE,93,IS REY,492,22G1,20.0,CARRIER,1,True,CA HAL,
DLAY_150_DE BRV_IS REY,2025,9,DE BRV,220,IS REY,492,22G1,20.0,CARRIER,1,True,US PWM,
DLAY_154_DE BRV_IS REY,2025,9,DE BRV,220,IS REY,492,22G1,20.0,CARRIER,1,True,US PWM,
DLAY_181_FO THO_IS REY,2025,9,FO THO,116,IS REY,492,45R1,40.0,CARRIER,4,True,US PWM,
DLAY_188_GB TEE_IS REY,2025,9,GB TEE,257,IS REY,492,45U1,40.0,CARRIER,1,True,SE HEL,
DLAY_190_GB TEE_IS REY,2025,9,GB TEE,257,IS REY,492,22G1,20.0,CARRIER,1,True,CA HAL,
DLAY_221_IS RFJ_FO THO,2025,9,IS RFJ,260,FO THO,502,45R1,40.0,CARRIER,1,True,IS REY,
DLAY_222_IS VES_FO THO,2025,9,IS VES,250,FO THO,502,45R1,40.0,CARRIER,1,True,IS REY,
DLAY_243_NL RTM_IS REY,2025,9,NL RTM,234,IS REY,492,22U1,20.0,SHIPPER,1,True,FO THO,
DLAY_244_NL RTM_IS REY,2025,9,NL RTM,234,IS REY,492,22G1,20.0,SHIPPER,1,True,CA HAL,
DLAY_245_NL RTM_IS REY,2025,9,NL RTM,234,IS REY,492,22GB,20.0,SHIPPER,1,True,US PWM,
TLEG_0_IS REY_GB IMM,2025,8,IS REY,258,GB IMM,497,45G1,40.0,Carrier,3,False,GB IMM,
TLEG_1_IS REY_DE BRV,2025,8,IS REY,258,DE BRV,502,45G1,40.0,Carrier,5,False,DE BRV,
TLEG_2_IS REY_NL RTM,2025,8,IS REY,258,NL RTM,498,45G1,40.0,Carrier,1,False,NL RTM,
TLEG_3_IS REY_NL RTM,2025,8,IS REY,258,NL RTM,498,22G1,20.0,Carrier,1,False,NL RTM,
TLEG_4_IS REY_NL RTM,2025,8,IS REY,258,NL RTM,498,22G1,20.0,Shipper,1,False,NL RTM,
TLEG_5_IS REY_IS GRT,2025,8,IS REY,258,IS GRT,402,45G1,40.0,Carrier,1,False,IS GRT,
TLEG_6_IS REY_IS RFJ,2025,8,IS REY,258,IS RFJ,427,45R1,40.0,Leased,1,False,IS RFJ,
