Commodity,Year,Week,Origin,DepartureTime,Destination,ArrivalTime,ContainerType,ContainerSize,Owner,Count,Truncated,FinalDestination,ContractType
DLAY_22_US PWM_IS REY,2025,6,US PWM,14,IS REY,426,45G1,40.0,CARRIER,3,True,GB IMM,
DLAY_23_US PWM_IS REY,2025,6,US PWM,14,IS REY,426,45G1,40.0,CARRIER,1,True,DE BRV,
DLAY_24_US PWM_IS REY,2025,6,US PWM,14,IS REY,426,45G1,40.0,CARRIER,1,True,NL RTM,
DLAY_25_US PWM_IS REY,2025,6,US PWM,14,IS REY,426,45G1,40.0,CARRIER,4,True,DE BRV,
DLAY_33_CA NWP_IS REY,2025,7,CA NWP,91,IS REY,426,22G1,20.0,CARRIER,1,True,NL RTM,
DLAY_35_CA NWP_IS REY,2025,7,CA NWP,91,IS REY,426,22G1,20.0,SHIPPER,1,True,NL RTM,
DLAY_38_DE BRV_IS REY,2025,7,DE BRV,36,IS REY,426,45G1,40.0,CARRIER,1,True,IS GRT,
DLAY_226_FO THO_IS REY,2025,8,FO THO,303,IS REY,426,45R1,40.0,LEASED,1,True,IS RFJ,
DLAY_268_NL RTM_IS REY,2025,8,NL RTM,234,IS REY,426,22G1,20.0,CARRIER,1,True,FO THO,
TLEG_0_IS REY_US PWM,2025,7,IS REY,325,US PWM,493,22G1,20.0,Carrier,1,False,US PWM,
TLEG_1_IS REY_GB IMM,2025,7,IS REY,325,GB IMM,497,22G1,20.0,Leased,1,False,GB IMM,
TLEG_2_IS REY_IS VES,2025,7,IS REY,325,IS VES,418,45G1,40.0,Carrier,1,False,IS VES,
TLEG_3_IS REY_IS RFJ,2025,7,IS REY,325,IS RFJ,428,4EG1,40.0,Leased,1,False,IS RFJ,
TLEG_4_IS REY_US PWM,2025,7,IS REY,325,US PWM,493,22K0,20.0,Shipper,1,False,US PWM,
TLEG_5_IS REY_DK AAR,2025,7,IS REY,0,DK AAR,457,45R1,40.0,Carrier,1,False,DK AAR,
TLEG_6_IS REY_CA HAL,2025,7,IS REY,8,CA HAL,333,45G1,40.0,Carrier,1,False,CA HAL,
TLEG_7_IS REY_CA NWP,2025,7,IS REY,0,CA NWP,394,45P3,40.0,Carrier,1,False,CA NWP,
TLEG_8_IS REY_GB IMM,2025,7,IS REY,254,GB IMM,497,45G1,40.0,Carrier,3,False,GB IMM,
TLEG_9_IS REY_DE BRV,2025,7,IS REY,254,DE BRV,388,45G1,40.0,Carrier,5,False,DE BRV,
TLEG_10_IS REY_NL RTM,2025,7,IS REY,254,NL RTM,498,45G1,40.0,Carrier,1,False,NL RTM,
TLEG_11_IS REY_NL RTM,2025,7,IS REY,254,NL RTM,498,45R1,40.0,Carrier,4,False,NL RTM,
TLEG_12_IS REY_NL RTM,2025,7,IS REY,254,NL RTM,498,22G1,20.0,Carrier,2,False,NL RTM,
TLEG_13_IS REY_NO FRK,2025,7,IS REY,254,NO FRK,401,45G1,40.0,Carrier,1,False,NO FRK,
TLEG_14_IS REY_NL RTM,2025,7,IS REY,254,NL RTM,498,22G1,20.0,Shipper,1,False,NL RTM,
TLEG_15_IS REY_US PWM,2025,7,IS REY,175,US PWM,493,42P3,40.0,Carrier,1,False,US PWM,
TLEG_16_IS REY_IS GRT,2025,7,IS REY,175,IS GRT,402,45G1,40.0,Carrier,1,False,IS GRT,
TLEG_17_IS REY_CA NWP,2025,7,IS REY,175,CA NWP,394,LNRB,45.0,Carrier,1,False,CA NWP,
TLEG_18_IS REY_CA NWP,2025,7,IS REY,175,CA NWP,394,22G1,20.0,Carrier,1,False,CA NWP,
TLEG_19_IS REY_CA HAL,2025,7,IS REY,175,CA HAL,333,22G1,20.0,Carrier,1,False,CA HAL,
TLEG_20_IS REY_CA HAL,2025,7,IS REY,175,CA HAL,333,45R1,40.0,Carrier,2,False,CA HAL,
TLEG_21_IS REY_CA NWP,2025,7,IS REY,156,CA NWP,394,45P3,40.0,Carrier,1,False,CA NWP,
TLEG_22_IS REY_NL RTM,2025,7,IS REY,413,NL RTM,498,45G1,40.0,Carrier,6,False,NL RTM,
TLEG_23_IS REY_NL RTM,2025,7,IS REY,413,NL RTM,498,45R1,40.0,Carrier,1,False,NL RTM,
TLEG_25_IS REY_IS RFJ,2025,7,IS REY,413,IS RFJ,428,45R1,40.0,Carrier,1,False,IS RFJ,
TLEG_27_IS REY_GB IMM,2025,7,IS REY,413,GB IMM,497,45R1,40.0,Carrier,1,False,GB IMM,
TLEG_28_IS REY_IS VES,2025,7,IS REY,343,IS VES,418,42P3,40.0,Carrier,1,False,IS VES,
TLEG_29_IS REY_IS RFJ,2025,7,IS REY,343,IS RFJ,428,45R1,40.0,Carrier,1,False,IS RFJ,
TLEG_30_IS REY_IS VES,2025,7,IS REY,343,IS VES,418,42P3,40.0,Leased,1,False,IS VES,
TLEG_31_IS REY_US PWM,2025,7,IS REY,343,US PWM,493,45G1,40.0,Carrier,4,False,US PWM,
TLEG_32_IS REY_IS RFJ,2025,7,IS REY,400,IS RFJ,428,4EG1,40.0,Carrier,1,False,IS RFJ,
TLEG_33_IS REY_IS RFJ,2025,7,IS REY,343,IS RFJ,428,4EG1,40.0,Carrier,1,False,IS RFJ,
TLEG_34_IS REY_US PWM,2025,7,IS REY,343,US PWM,493,45R1,40.0,Carrier,2,False,US PWM,
TLEG_35_IS REY_CA NWP,2025,7,IS REY,344,CA NWP,394,22G1,20.0,Carrier,1,False,CA NWP,
TLEG_36_IS REY_US PWM,2025,7,IS REY,344,US PWM,493,45R1,40.0,Carrier,1,False,US PWM,
TLEG_37_IS REY_IS RFJ,2025,7,IS REY,344,IS RFJ,428,45R1,40.0,Leased,1,False,IS RFJ,
TLEG_38_IS REY_US PWM,2025,7,IS REY,400,US PWM,493,45R1,40.0,Carrier,1,False,US PWM,
TLEG_39_IS REY_IS VES,2025,7,IS REY,325,IS VES,418,42P3,40.0,Carrier,1,False,IS VES,
TLEG_40_IS REY_CA HAL,2025,7,IS REY,325,CA HAL,333,22G1,20.0,Carrier,2,False,CA HAL,
TLEG_41_IS REY_US PWM,2025,7,IS REY,325,US PWM,493,45G1,40.0,Carrier,1,False,US PWM,
TLEG_42_IS REY_FO THO,2025,7,IS REY,325,FO THO,503,22G1,20.0,Carrier,1,False,FO THO,
TLEG_43_IS REY_CA HAL,2025,7,IS REY,325,CA HAL,333,45R1,40.0,Carrier,1,False,CA HAL,
TLEG_44_IS REY_IS GRT,2025,7,IS REY,325,IS GRT,402,45R1,40.0,Carrier,1,False,IS GRT,
TLEG_45_IS REY_IS VES,2025,7,IS REY,325,IS VES,418,45R1,40.0,Carrier,1,False,IS VES,
TLEG_46_IS REY_IS RFJ,2025,7,IS REY,325,IS RFJ,428,45G1,40.0,Leased,1,False,IS RFJ,
TLEG_52_IS REY_DE BRV,2025,7,IS REY,254,DE BRV,388,45G1,40.0,Carrier,5,False,DE BRV,
TLEG_53_IS REY_NO FRK,2025,7,IS REY,254,NO FRK,401,45G1,40.0,Carrier,1,False,NO FRK,
TLEG_54_IS REY_NL RTM,2025,7,IS REY,413,NL RTM,498,45G1,40.0,Carrier,6,False,NL RTM,
TLEG_55_IS REY_NL RTM,2025,7,IS REY,413,NL RTM,498,45R1,40.0,Carrier,1,False,NL RTM,
