Line,Vessel,DepPort,DepHour,ArrPort,ArrHour,Capacity,Cost
Blue Line,JOR,NL RTM,65,GB TEE,83,110,1.0
Blue Line,JOR,GB TEE,94,IS REY,156,110,1.0
Blue Line,JOR,IS REY,198,IS GRT,200,110,1.0
Blue Line,JOR,IS GRT,234,IS REY,236,110,1.0
Blue Line,JOR,IS REY,260,NL RTM,330,110,1.0
Blue Line,JOR,NL RTM,401,GB TEE,421,110,1.0
Blue Line,JOR,GB TEE,430,IS REY,492,110,1.0
Blue Line,JOR,IS REY,534,IS GRT,536,110,1.0
Blue Line,JOR,IS GRT,570,IS REY,572,110,1.0
Blue Line,VED,IS REY,44,IS GRT,46,100,1.0
Blue Line,VED,IS GRT,66,IS REY,68,100,1.0
Blue Line,VED,IS REY,92,NL RTM,162,100,1.0
Blue Line,VED,NL RTM,233,GB TEE,267,100,1.0
Blue Line,VED,GB TEE,274,IS REY,328,44,1.0
Blue Line,VED,IS REY,366,IS GRT,368,100,1.0
Blue Line,VED,IS GRT,402,IS REY,404,100,1.0
Blue Line,VED,IS REY,427,NL RTM,498,100,1.0
Blue Line,VED,NL RTM,568,GB TEE,589,100,1.0
Blue Line,VED,GB TEE,598,IS REY,656,100,1.0
Blue Line,VED,IS REY,702,IS GRT,704,100,1.0
Blue Line,VED,IS GRT,738,IS REY,740,100,1.0
Blue Line,WAIT,NL RTM,0,NL RTM,65,10000,0.0
Blue Line,WAIT,GB TEE,0,GB TEE,94,10000,0.0
Blue Line,WAIT,IS REY,0,IS REY,44,10000,0.0
Blue Line,WAIT,IS GRT,0,IS GRT,66,10000,0.0
Blue Line,WAIT,IS REY,31,IS REY,44,10000,0.0
Blue Line,WAIT,IS REY,44,IS REY,68,10000,0.0
Blue Line,WAIT,IS GRT,46,IS GRT,66,10000,0.0
Blue Line,WAIT,NL RTM,65,NL RTM,162,10000,0.0
Blue Line,WAIT,IS GRT,66,IS GRT,200,10000,0.0
Blue Line,WAIT,IS REY,68,IS REY,92,10000,0.0
Blue Line,WAIT,GB TEE,83,GB TEE,94,10000,0.0
Blue Line,WAIT,IS REY,92,IS REY,156,10000,0.0
Blue Line,WAIT,GB TEE,94,GB TEE,267,10000,0.0
Blue Line,WAIT,IS REY,156,IS REY,198,10000,0.0
Blue Line,WAIT,NL RTM,162,NL RTM,233,10000,0.0
Blue Line,WAIT,IS REY,198,IS REY,236,10000,0.0
Blue Line,WAIT,IS GRT,200,IS GRT,234,10000,0.0
Blue Line,WAIT,NL RTM,233,NL RTM,330,10000,0.0
Blue Line,WAIT,IS GRT,234,IS GRT,368,10000,0.0
Blue Line,WAIT,IS REY,236,IS REY,260,10000,0.0
Blue Line,WAIT,IS REY,260,IS REY,328,10000,0.0
Blue Line,WAIT,GB TEE,267,GB TEE,274,10000,0.0
Blue Line,WAIT,GB TEE,274,GB TEE,421,10000,0.0
Blue Line,WAIT,IS REY,328,IS REY,366,10000,0.0
Blue Line,WAIT,NL RTM,330,NL RTM,401,10000,0.0
Blue Line,WAIT,IS REY,366,IS REY,404,10000,0.0
Blue Line,WAIT,IS GRT,368,IS GRT,402,10000,0.0
Blue Line,WAIT,NL RTM,401,NL RTM,498,10000,0.0
Blue Line,WAIT,IS GRT,402,IS GRT,536,10000,0.0
Blue Line,WAIT,IS REY,404,IS REY,427,10000,0.0
Blue Line,WAIT,GB TEE,421,GB TEE,430,10000,0.0
Blue Line,WAIT,IS REY,427,IS REY,492,10000,0.0
Blue Line,WAIT,GB TEE,430,GB TEE,589,10000,0.0
Blue Line,WAIT,IS REY,492,IS REY,534,10000,0.0
Blue Line,WAIT,NL RTM,498,NL RTM,568,10000,0.0
Blue Line,WAIT,IS REY,534,IS REY,572,10000,0.0
