Line,Vessel,DepPort,DepHour,ArrPort,ArrHour,Capacity,Cost
Blue Line,JOR,IS REY,30,IS GRT,32,110,1.0
Blue Line,JOR,IS GRT,66,IS REY,68,110,1.0
Blue Line,JOR,IS REY,94,NL RTM,163,110,1.0
Blue Line,JOR,NL RTM,238,GB TEE,255,110,1.0
Blue Line,JOR,GB TEE,262,IS REY,324,110,1.0
Blue Line,JOR,IS REY,366,IS GRT,368,110,1.0
Blue Line,JOR,IS GRT,402,IS REY,404,110,1.0
Blue Line,JOR,IS REY,432,NL RTM,503,110,1.0
Blue Line,JOR,NL RTM,569,GB TEE,589,110,1.0
Blue Line,JOR,GB TEE,599,IS REY,660,110,1.0
Blue Line,JOR,IS REY,702,IS GRT,704,110,1.0
Blue Line,JOR,IS GRT,738,IS REY,740,110,1.0
Blue Line,VED,NL RTM,67,GB TEE,90,100,1.0
Blue Line,VED,GB TEE,100,IS REY,156,100,1.0
Blue Line,VED,IS REY,198,IS GRT,200,100,1.0
Blue Line,VED,IS GRT,234,IS REY,236,100,1.0
Blue Line,VED,IS REY,261,NL RTM,331,100,1.0
Blue Line,VED,NL RTM,403,GB TEE,421,100,1.0
Blue Line,VED,GB TEE,432,IS REY,489,100,1.0
Blue Line,VED,IS REY,534,IS GRT,536,100,1.0
Blue Line,VED,IS GRT,569,IS REY,584,100,1.0
Blue Line,WAIT,IS REY,0,IS REY,30,10000,0.0
Blue Line,WAIT,IS GRT,0,IS GRT,66,10000,0.0
Blue Line,WAIT,NL RTM,0,NL RTM,67,10000,0.0
Blue Line,WAIT,GB TEE,0,GB TEE,100,10000,0.0
Blue Line,WAIT,IS REY,30,IS REY,68,10000,0.0
Blue Line,WAIT,IS GRT,32,IS GRT,66,10000,0.0
Blue Line,WAIT,IS GRT,66,IS GRT,200,10000,0.0
Blue Line,WAIT,NL RTM,67,NL RTM,163,10000,0.0
Blue Line,WAIT,IS REY,68,IS REY,94,10000,0.0
Blue Line,WAIT,GB TEE,90,GB TEE,100,10000,0.0
Blue Line,WAIT,IS REY,94,IS REY,156,10000,0.0
Blue Line,WAIT,GB TEE,100,GB TEE,255,10000,0.0
Blue Line,WAIT,IS REY,156,IS REY,198,10000,0.0
Blue Line,WAIT,NL RTM,163,NL RTM,238,10000,0.0
Blue Line,WAIT,IS REY,198,IS REY,236,10000,0.0
Blue Line,WAIT,IS GRT,200,IS GRT,234,10000,0.0
Blue Line,WAIT,IS GRT,234,IS GRT,368,10000,0.0
Blue Line,WAIT,IS REY,236,IS REY,261,10000,0.0
Blue Line,WAIT,NL RTM,238,NL RTM,331,10000,0.0
Blue Line,WAIT,GB TEE,255,GB TEE,262,10000,0.0
Blue Line,WAIT,IS REY,261,IS REY,324,10000,0.0
Blue Line,WAIT,GB TEE,262,GB TEE,421,10000,0.0
Blue Line,WAIT,IS REY,324,IS REY,366,10000,0.0
Blue Line,WAIT,NL RTM,331,NL RTM,403,10000,0.0
Blue Line,WAIT,IS REY,366,IS REY,404,10000,0.0
Blue Line,WAIT,IS GRT,368,IS GRT,402,10000,0.0
Blue Line,WAIT,IS GRT,402,IS GRT,536,10000,0.0
Blue Line,WAIT,NL RTM,403,NL RTM,503,10000,0.0
Blue Line,WAIT,IS REY,404,IS REY,432,10000,0.0
