Line,Vessel,DepPort,DepHour,ArrPort,ArrHour,Capacity,Cost
Blue Line,JOR,NL RTM,65,GB TEE,85,110,1.0
Blue Line,JOR,GB TEE,95,IS REY,156,110,1.0
Blue Line,JOR,IS REY,198,IS GRT,200,110,1.0
Blue Line,JOR,IS GRT,234,IS REY,236,110,1.0
Blue Line,JOR,IS REY,263,NL RTM,346,110,1.0
Blue Line,JOR,NL RTM,402,GB TEE,422,110,1.0
Blue Line,JOR,GB TEE,429,IS REY,493,110,1.0
Blue Line,JOR,IS REY,534,IS GRT,536,110,1.0
Blue Line,JOR,IS GRT,570,IS REY,572,110,1.0
Blue Line,VED,IS REY,30,IS GRT,32,100,1.0
Blue Line,VED,IS GRT,65,IS REY,80,100,1.0
Blue Line,VED,IS REY,98,NL RTM,167,100,1.0
Blue Line,VED,NL RTM,235,GB TEE,257,100,1.0
Blue Line,VED,GB TEE,267,IS REY,324,100,1.0
Blue Line,VED,IS REY,366,IS GRT,368,100,1.0
Blue Line,VED,IS GRT,402,IS REY,404,100,1.0
Blue Line,VED,IS REY,428,NL RTM,499,100,1.0
Blue Line,VED,NL RTM,570,GB TEE,585,100,1.0
Blue Line,VED,GB TEE,593,IS REY,703,100,1.0
Blue Line,VED,IS REY,716,IS GRT,718,100,1.0
Blue Line,VED,IS GRT,738,IS REY,740,100,1.0
Blue Line,WAIT,NL RTM,0,NL RTM,65,10000,0.0
Blue Line,WAIT,GB TEE,0,GB TEE,95,10000,0.0
Blue Line,WAIT,IS REY,0,IS REY,30,10000,0.0
Blue Line,WAIT,IS GRT,0,IS GRT,65,10000,0.0
Blue Line,WAIT,IS REY,30,IS REY,80,10000,0.0
Blue Line,WAIT,IS GRT,32,IS GRT,65,10000,0.0
Blue Line,WAIT,NL RTM,65,NL RTM,167,10000,0.0
Blue Line,WAIT,IS GRT,65,IS GRT,200,10000,0.0
Blue Line,WAIT,IS REY,80,IS REY,98,10000,0.0
Blue Line,WAIT,GB TEE,85,GB TEE,95,10000,0.0
Blue Line,WAIT,GB TEE,95,GB TEE,257,10000,0.0
Blue Line,WAIT,IS REY,98,IS REY,156,10000,0.0
Blue Line,WAIT,IS REY,156,IS REY,198,10000,0.0
Blue Line,WAIT,NL RTM,167,NL RTM,235,10000,0.0
Blue Line,WAIT,IS REY,198,IS REY,236,10000,0.0
Blue Line,WAIT,IS GRT,200,IS GRT,234,10000,0.0
Blue Line,WAIT,IS GRT,234,IS GRT,368,10000,0.0
Blue Line,WAIT,NL RTM,235,NL RTM,346,10000,0.0
Blue Line,WAIT,IS REY,236,IS REY,263,10000,0.0
Blue Line,WAIT,GB TEE,257,GB TEE,267,10000,0.0
Blue Line,WAIT,IS REY,263,IS REY,324,10000,0.0
Blue Line,WAIT,GB TEE,267,GB TEE,422,10000,0.0
Blue Line,WAIT,IS REY,324,IS REY,366,10000,0.0
Blue Line,WAIT,NL RTM,346,NL RTM,402,10000,0.0
Blue Line,WAIT,IS REY,366,IS REY,404,10000,0.0
Blue Line,WAIT,IS GRT,368,IS GRT,402,10000,0.0
Blue Line,WAIT,NL RTM,402,NL RTM,499,10000,0.0
Blue Line,WAIT,IS GRT,402,IS GRT,536,10000,0.0
Blue Line,WAIT,IS REY,404,IS REY,428,10000,0.0
Blue Line,WAIT,GB TEE,422,GB TEE,429,10000,0.0
Blue Line,WAIT,IS REY,428,IS REY,493,10000,0.0
Blue Line,WAIT,GB TEE,429,GB TEE,585,10000,0.0
Blue Line,WAIT,IS REY,493,IS REY,534,10000,0.0
Blue Line,WAIT,NL RTM,499,NL RTM,570,10000,0.0
Blue Line,WAIT,IS REY,534,IS REY,572,10000,0.0
Blue Line,WAIT,IS GRT,536,IS GRT,570,10000,0.0
Blue Line,WAIT,IS GRT,570,IS GRT,718,10000,0.0
Blue Line,WAIT,IS REY,572,IS REY,594,10000,0.0
Blue Line,WAIT,GB TEE,585,GB TEE,593,10000,0.0
Blue Line,WAIT,IS REY,594,IS REY,703,10000,0.0
Blue Line,WAIT,IS REY,703,IS REY,716,10000,0.0
Blue Line,WAIT,IS REY,716,IS REY,740,10000,0.0
Blue Line,WAIT,IS GRT,718,IS GRT,738,10000,0.0
Blue Line,WAIT,IS REY,740,IS REY,764,10000,0.0
Green Line,AVA,CA HAL,16,IS REY,160,40,1.0
Green Line,AVA,IS REY,226,US PWM,429,40,1.0
Green Line,AVA,US PWM,468,CA HAL,494,35,1.0
Green Line,AVA,CA HAL,501,CA NWP,537,40,1.0
Green Line,AVA,CA NWP,562,IS REY,756,40,1.0
Green Line,BAK,US PWM,182,CA HAL,210,50,1.0
Green Line,BAK,CA HAL,219,CA NWP,251,50,1.0
Green Line,BAK,CA NWP,259,IS REY,422,50,1.0
Green Line,BAK,IS REY,445,US PWM,608,1,1.0
Green Line,BAK,US PWM,661,IS REY,815,50,1.0
Green Line,VIV,IS REY,78,US PWM,256,60,1.0
Green Line,VIV,US PWM,303,CA HAL,362,60,1.0
Green Line,VIV,CA HAL,390,CA NWP,468,60,1.0
Green Line,VIV,CA NWP,476,IS REY,581,60,1.0
Green Line,WAIT,CA HAL,0,CA HAL,16,10000,0.0
Green Line,WAIT,IS REY,0,IS REY,78,10000,0.0
Green Line,WAIT,US PWM,0,US PWM,182,10000,0.0
Green Line,WAIT,CA NWP,0,CA NWP,259,10000,0.0
Green Line,WAIT,CA HAL,7,CA HAL,16,10000,0.0
Green Line,WAIT,CA HAL,16,CA HAL,210,10000,0.0
Green Line,WAIT,IS REY,78,IS REY,160,10000,0.0
Green Line,WAIT,US PWM,127,US PWM,182,10000,0.0
Green Line,WAIT,IS REY,160,IS REY,226,10000,0.0
Green Line,WAIT,US PWM,182,US PWM,256,10000,0.0
Green Line,WAIT,CA HAL,210,CA HAL,219,10000,0.0
Green Line,WAIT,CA HAL,219,CA HAL,362,10000,0.0
Green Line,WAIT,IS REY,226,IS REY,227,10000,0.0
Green Line,WAIT,IS REY,227,IS REY,416,10000,0.0
Green Line,WAIT,CA NWP,251,CA NWP,259,10000,0.0
Green Line,WAIT,US PWM,256,US PWM,303,10000,0.0
Green Line,WAIT,CA NWP,259,CA NWP,468,10000,0.0
Green Line,WAIT,US PWM,303,US PWM,429,10000,0.0
