Line,Vessel,DepPort,DepHour,ArrPort,ArrHour,Capacity,Cost
Blue Line,JOR,IS REY,97,NL RTM,163,110,1.0
Blue Line,JOR,NL RTM,232,GB TEE,253,110,1.0
Blue Line,JOR,GB TEE,262,IS REY,325,110,1.0
Blue Line,JOR,IS REY,366,IS GRT,368,110,1.0
Blue Line,JOR,IS GRT,402,IS REY,404,110,1.0
Blue Line,JOR,IS REY,430,NL RTM,499,110,1.0
Blue Line,JOR,NL RTM,574,GB TEE,591,110,1.0
Blue Line,JOR,GB TEE,598,IS REY,660,110,1.0
Blue Line,JOR,IS REY,702,IS GRT,704,110,1.0
Blue Line,JOR,IS GRT,738,IS REY,740,110,1.0
Blue Line,VED,IS REY,264,NL RTM,331,100,1.0
Blue Line,VED,NL RTM,403,GB TEE,426,100,1.0
Blue Line,VED,GB TEE,436,IS REY,492,100,1.0
Blue Line,VED,IS REY,534,IS GRT,536,100,1.0
Blue Line,VED,IS GRT,570,IS REY,572,100,1.0
Blue Line,WAIT,IS REY,0,IS REY,97,10000,0.0
Blue Line,WAIT,NL RTM,0,NL RTM,232,10000,0.0
Blue Line,WAIT,GB TEE,0,GB TEE,262,10000,0.0
Blue Line,WAIT,IS GRT,0,IS GRT,402,10000,0.0
Blue Line,WAIT,IS REY,97,IS REY,236,10000,0.0
Blue Line,WAIT,NL RTM,163,NL RTM,232,10000,0.0
Blue Line,WAIT,NL RTM,232,NL RTM,331,10000,0.0
Blue Line,WAIT,IS REY,236,IS REY,264,10000,0.0
Blue Line,WAIT,GB TEE,253,GB TEE,262,10000,0.0
Blue Line,WAIT,GB TEE,262,GB TEE,426,10000,0.0
Blue Line,WAIT,IS REY,264,IS REY,325,10000,0.0
Blue Line,WAIT,IS REY,325,IS REY,366,10000,0.0
Blue Line,WAIT,NL RTM,331,NL RTM,403,10000,0.0
Blue Line,WAIT,IS REY,366,IS REY,404,10000,0.0
Blue Line,WAIT,IS GRT,368,IS GRT,402,10000,0.0
Blue Line,WAIT,IS GRT,402,IS GRT,536,10000,0.0
Blue Line,WAIT,NL RTM,403,NL RTM,499,10000,0.0
Blue Line,WAIT,IS REY,404,IS REY,430,10000,0.0
Blue Line,WAIT,GB TEE,426,GB TEE,436,10000,0.0
Blue Line,WAIT,IS REY,430,IS REY,492,10000,0.0
Blue Line,WAIT,GB TEE,436,GB TEE,591,10000,0.0
Blue Line,WAIT,IS REY,492,IS REY,534,10000,0.0
Blue Line,WAIT,NL RTM,499,NL RTM,574,10000,0.0
Blue Line,WAIT,IS REY,534,IS REY,572,10000,0.0
Blue Line,WAIT,IS GRT,536,IS GRT,570,10000,0.0
Blue Line,WAIT,IS GRT,570,IS GRT,704,10000,0.0
Blue Line,WAIT,IS REY,572,IS REY,597,10000,0.0
Blue Line,WAIT,GB TEE,591,GB TEE,598,10000,0.0
Blue Line,WAIT,IS REY,597,IS REY,660,10000,0.0
Blue Line,WAIT,IS REY,660,IS REY,702,10000,0.0
Blue Line,WAIT,IS REY,702,IS REY,740,10000,0.0
Blue Line,WAIT,IS GRT,704,IS GRT,738,10000,0.0
Blue Line,WAIT,IS REY,740,IS REY,768,10000,0.0
Green Line,BAK,IS REY,253,US PWM,415,50,1.0
Green Line,BAK,US PWM,468,CA HAL,493,50,1.0
