Line,Vessel,DepPort,DepHour,ArrPort,ArrHour,Capacity,Cost
Blue Line,JOR,IS REY,30,IS GRT,32,110,1.0
Blue Line,JOR,IS GRT,66,IS REY,68,110,1.0
Blue Line,JOR,IS REY,90,NL RTM,162,110,1.0
Blue Line,JOR,NL RTM,233,GB TEE,251,110,1.0
Blue Line,JOR,GB TEE,262,IS REY,324,110,1.0
Blue Line,JOR,IS REY,366,IS GRT,368,110,1.0
Blue Line,JOR,IS GRT,402,IS REY,404,110,1.0
Blue Line,JOR,IS REY,428,NL RTM,498,110,1.0
Blue Line,JOR,NL RTM,569,GB TEE,589,110,1.0
Blue Line,JOR,GB TEE,598,IS REY,660,110,1.0
Blue Line,JOR,IS REY,702,IS GRT,704,110,1.0
Blue Line,JOR,IS GRT,738,IS REY,740,110,1.0
Blue Line,VED,NL RTM,66,GB TEE,81,100,1.0
Blue Line,VED,GB TEE,89,IS REY,199,100,1.0
Blue Line,VED,IS REY,212,IS GRT,214,100,1.0
Blue Line,VED,IS GRT,234,IS REY,236,100,1.0
Blue Line,VED,IS REY,260,NL RTM,330,100,1.0
Blue Line,VED,NL RTM,401,GB TEE,435,100,1.0
Blue Line,VED,GB TEE,442,IS REY,496,100,1.0
Blue Line,VED,IS REY,534,IS GRT,536,100,1.0
Blue Line,VED,IS GRT,570,IS REY,572,100,1.0
Blue Line,WAIT,IS REY,0,IS REY,30,10000,0.0
Blue Line,WAIT,IS GRT,0,IS GRT,66,10000,0.0
Blue Line,WAIT,NL RTM,0,NL RTM,66,10000,0.0
Blue Line,WAIT,GB TEE,0,GB TEE,89,10000,0.0
Blue Line,WAIT,IS REY,30,IS REY,68,10000,0.0
Blue Line,WAIT,IS GRT,32,IS GRT,66,10000,0.0
Blue Line,WAIT,NL RTM,66,NL RTM,162,10000,0.0
Blue Line,WAIT,IS GRT,66,IS GRT,214,10000,0.0
Blue Line,WAIT,IS REY,68,IS REY,90,10000,0.0
Blue Line,WAIT,GB TEE,81,GB TEE,89,10000,0.0
Blue Line,WAIT,GB TEE,89,GB TEE,251,10000,0.0
Blue Line,WAIT,IS REY,90,IS REY,199,10000,0.0
Blue Line,WAIT,NL RTM,162,NL RTM,233,10000,0.0
Blue Line,WAIT,IS REY,199,IS REY,212,10000,0.0
Blue Line,WAIT,IS REY,212,IS REY,236,10000,0.0
Blue Line,WAIT,IS GRT,214,IS GRT,234,10000,0.0
Blue Line,WAIT,NL RTM,233,NL RTM,330,10000,0.0
Blue Line,WAIT,IS GRT,234,IS GRT,368,10000,0.0
Blue Line,WAIT,IS REY,236,IS REY,260,10000,0.0
Blue Line,WAIT,GB TEE,251,GB TEE,262,10000,0.0
Blue Line,WAIT,IS REY,260,IS REY,324,10000,0.0
Blue Line,WAIT,GB TEE,262,GB TEE,435,10000,0.0
Blue Line,WAIT,IS REY,324,IS REY,366,10000,0.0
Blue Line,WAIT,NL RTM,330,NL RTM,401,10000,0.0
Blue Line,WAIT,IS REY,366,IS REY,404,10000,0.0
Blue Line,WAIT,IS GRT,368,IS GRT,402,10000,0.0
Blue Line,WAIT,NL RTM,401,NL RTM,498,10000,0.0
Blue Line,WAIT,IS GRT,402,IS GRT,536,10000,0.0
Blue Line,WAIT,IS REY,404,IS REY,428,10000,0.0
