Line,Vessel,DepPort,DepHour,ArrPort,ArrHour,Capacity,Cost
Blue Line,JOR,IS REY,30,IS GRT,32,110,1.0
Blue Line,JOR,IS GRT,66,IS REY,68,110,1.0
Blue Line,JOR,IS REY,95,NL RTM,178,110,1.0
Blue Line,JOR,NL RTM,234,GB TEE,254,110,1.0
Blue Line,JOR,GB TEE,261,IS REY,325,110,1.0
Blue Line,JOR,IS REY,366,IS GRT,368,110,1.0
Blue Line,JOR,IS GRT,402,IS REY,404,110,1.0
Blue Line,JOR,IS REY,426,NL RTM,498,110,1.0
Blue Line,JOR,NL RTM,569,GB TEE,587,110,1.0
Blue Line,JOR,GB TEE,598,IS REY,660,110,1.0
Blue Line,JOR,IS REY,702,IS GRT,704,110,1.0
Blue Line,JOR,IS GRT,738,IS REY,740,110,1.0
Blue Line,VED,NL RTM,67,GB TEE,89,100,1.0
Blue Line,VED,GB TEE,99,IS REY,156,100,1.0
Blue Line,VED,IS REY,198,IS GRT,200,100,1.0
Blue Line,VED,IS GRT,234,IS REY,236,100,1.0
Blue Line,VED,IS REY,260,NL RTM,331,100,1.0
Blue Line,VED,NL RTM,402,GB TEE,417,100,1.0
Blue Line,VED,GB TEE,425,IS REY,535,100,1.0
Blue Line,VED,IS REY,548,IS GRT,550,100,1.0
Blue Line,VED,IS GRT,570,IS REY,572,100,1.0
Blue Line,WAIT,NL RTM,0,NL RTM,67,10000,0.0
Blue Line,WAIT,IS REY,0,IS REY,30,10000,0.0
Blue Line,WAIT,IS GRT,0,IS GRT,66,10000,0.0
Blue Line,WAIT,GB TEE,0,GB TEE,99,10000,0.0
Blue Line,WAIT,IS REY,30,IS REY,68,10000,0.0
Blue Line,WAIT,IS GRT,32,IS GRT,66,10000,0.0
Blue Line,WAIT,IS GRT,66,IS GRT,200,10000,0.0
Blue Line,WAIT,NL RTM,67,NL RTM,178,10000,0.0
Blue Line,WAIT,IS REY,68,IS REY,95,10000,0.0
Blue Line,WAIT,GB TEE,89,GB TEE,99,10000,0.0
Blue Line,WAIT,IS REY,95,IS REY,156,10000,0.0
Blue Line,WAIT,GB TEE,99,GB TEE,254,10000,0.0
Blue Line,WAIT,IS REY,156,IS REY,198,10000,0.0
Blue Line,WAIT,NL RTM,178,NL RTM,234,10000,0.0
Blue Line,WAIT,IS REY,198,IS REY,236,10000,0.0
Blue Line,WAIT,IS GRT,200,IS GRT,234,10000,0.0
Blue Line,WAIT,NL RTM,234,NL RTM,331,10000,0.0
Blue Line,WAIT,IS GRT,234,IS GRT,368,10000,0.0
Blue Line,WAIT,IS REY,236,IS REY,260,10000,0.0
Blue Line,WAIT,GB TEE,254,GB TEE,261,10000,0.0
Blue Line,WAIT,IS REY,260,IS REY,325,10000,0.0
Blue Line,WAIT,GB TEE,261,GB TEE,417,10000,0.0
Blue Line,WAIT,IS REY,325,IS REY,366,10000,0.0
Blue Line,WAIT,NL RTM,331,NL RTM,402,10000,0.0
Blue Line,WAIT,IS REY,366,IS REY,404,10000,0.0
Blue Line,WAIT,IS GRT,368,IS GRT,402,10000,0.0
Blue Line,WAIT,NL RTM,402,NL RTM,498,10000,0.0
Blue Line,WAIT,IS GRT,402,IS GRT,550,10000,0.0
Blue Line,WAIT,IS REY,404,IS REY,426,10000,0.0
