Line,Vessel,DepPort,DepHour,ArrPort,ArrHour,Capacity,Cost
Blue Line,JOR,NL RTM,70,GB TEE,87,110,1.0
Blue Line,JOR,GB TEE,94,IS REY,156,110,1.0
Blue Line,JOR,IS REY,198,IS GRT,200,110,1.0
Blue Line,JOR,IS GRT,234,IS REY,236,110,1.0
Blue Line,JOR,IS REY,264,NL RTM,335,110,1.0
Blue Line,JOR,NL RTM,401,GB TEE,421,110,1.0
Blue Line,JOR,GB TEE,431,IS REY,492,110,1.0
Blue Line,JOR,IS REY,534,IS GRT,536,110,1.0
Blue Line,JOR,IS GRT,570,IS REY,572,110,1.0
Blue Line,VED,IS REY,30,IS GRT,32,100,1.0
Blue Line,VED,IS GRT,66,IS REY,68,100,1.0
Blue Line,VED,IS REY,93,NL RTM,163,100,1.0
Blue Line,VED,NL RTM,235,GB TEE,253,100,1.0
Blue Line,VED,GB TEE,264,IS REY,321,100,1.0
Blue Line,VED,IS REY,366,IS GRT,368,100,1.0
Blue Line,VED,IS GRT,401,IS REY,416,100,1.0
Blue Line,VED,IS REY,434,NL RTM,503,100,1.0
Blue Line,VED,NL RTM,571,GB TEE,593,100,1.0
Blue Line,VED,GB TEE,603,IS REY,660,100,1.0
Blue Line,VED,IS REY,702,IS GRT,704,100,1.0
Blue Line,VED,IS GRT,738,IS REY,740,100,1.0
Blue Line,WAIT,NL RTM,0,NL RTM,70,10000,0.0
Blue Line,WAIT,GB TEE,0,GB TEE,94,10000,0.0
Blue Line,WAIT,IS REY,0,IS REY,30,10000,0.0
Blue Line,WAIT,IS GRT,0,IS GRT,66,10000,0.0
Blue Line,WAIT,IS REY,30,IS REY,68,10000,0.0
Blue Line,WAIT,IS GRT,32,IS GRT,66,10000,0.0
Blue Line,WAIT,IS GRT,66,IS GRT,200,10000,0.0
Blue Line,WAIT,IS REY,68,IS REY,93,10000,0.0
Blue Line,WAIT,NL RTM,70,NL RTM,163,10000,0.0
Blue Line,WAIT,GB TEE,87,GB TEE,94,10000,0.0
Blue Line,WAIT,IS REY,93,IS REY,156,10000,0.0
Blue Line,WAIT,GB TEE,94,GB TEE,253,10000,0.0
Blue Line,WAIT,IS REY,156,IS REY,198,10000,0.0
Blue Line,WAIT,NL RTM,163,NL RTM,235,10000,0.0
Blue Line,WAIT,IS REY,198,IS REY,236,10000,0.0
Blue Line,WAIT,IS GRT,200,IS GRT,234,10000,0.0
Blue Line,WAIT,IS GRT,234,IS GRT,368,10000,0.0
Blue Line,WAIT,NL RTM,235,NL RTM,335,10000,0.0
Blue Line,WAIT,IS REY,236,IS REY,264,10000,0.0
Blue Line,WAIT,GB TEE,253,GB TEE,264,10000,0.0
Blue Line,WAIT,IS REY,264,IS REY,321,10000,0.0
Blue Line,WAIT,GB TEE,264,GB TEE,421,10000,0.0
Blue Line,WAIT,IS REY,321,IS REY,366,10000,0.0
Blue Line,WAIT,NL RTM,335,NL RTM,401,10000,0.0
Blue Line,WAIT,IS REY,366,IS REY,416,10000,0.0
Blue Line,WAIT,IS GRT,368,IS GRT,401,10000,0.0
Blue Line,WAIT,NL RTM,401,NL RTM,503,10000,0.0
Blue Line,WAIT,IS GRT,401,IS GRT,536,10000,0.0
Blue Line,WAIT,IS REY,416,IS REY,434,10000,0.0
Blue Line,WAIT,GB TEE,421,GB TEE,431,10000,0.0
Blue Line,WAIT,GB TEE,431,GB TEE,593,10000,0.0
Blue Line,WAIT,IS REY,434,IS REY,492,10000,0.0
Blue Line,WAIT,IS REY,492,IS REY,534,10000,0.0
Blue Line,WAIT,NL RTM,503,NL RTM,571,10000,0.0
Blue Line,WAIT,IS REY,534,IS REY,572,10000,0.0
Blue Line,WAIT,IS GRT,536,IS GRT,570,10000,0.0
Blue Line,WAIT,IS GRT,570,IS GRT,704,10000,0.0
Blue Line,WAIT,IS REY,572,IS REY,599,10000,0.0
Blue Line,WAIT,GB TEE,593,GB TEE,603,10000,0.0
Blue Line,WAIT,IS REY,599,IS REY,660,10000,0.0
Blue Line,WAIT,IS REY,660,IS REY,702,10000,0.0
Blue Line,WAIT,IS REY,702,IS REY,740,10000,0.0
Blue Line,WAIT,IS GRT,704,IS GRT,738,10000,0.0
Blue Line,WAIT,IS REY,740,IS REY,764,10000,0.0
Green Line,AVA,IS REY,46,US PWM,261,40,1.0
Green Line,AVA,US PWM,304,CA HAL,343,40,1.0
Green Line,AVA,CA HAL,352,IS REY,496,40,1.0
Green Line,BAK,CA NWP,83,IS REY,198,50,1.0
Green Line,BAK,IS REY,242,US PWM,463,50,1.0
Green Line,BAK,US PWM,518,CA HAL,546,50,1.0
Green Line,BAK,CA HAL,555,CA NWP,587,7,1.0
Green Line,BAK,CA NWP,595,IS REY,758,50,1.0
Green Line,VIV,US PWM,84,CA HAL,128,60,1.0
Green Line,VIV,CA HAL,141,CA NWP,175,60,1.0
Green Line,VIV,CA NWP,186,IS REY,313,60,1.0
Green Line,VIV,IS REY,414,US PWM,592,57,1.0
Green Line,VIV,US PWM,639,CA HAL,698,60,1.0
Green Line,VIV,CA HAL,726,CA NWP,804,60,1.0
Green Line,VIV,CA NWP,812,IS REY,917,60,1.0
Green Line,WAIT,IS REY,0,IS REY,46,10000,0.0
Green Line,WAIT,US PWM,0,US PWM,84,10000,0.0
Green Line,WAIT,CA HAL,0,CA HAL,141,10000,0.0
Green Line,WAIT,CA NWP,0,CA NWP,83,10000,0.0
Green Line,WAIT,US PWM,34,US PWM,84,10000,0.0
Green Line,WAIT,IS REY,46,IS REY,192,10000,0.0
Green Line,WAIT,CA NWP,62,CA NWP,83,10000,0.0
Green Line,WAIT,CA NWP,83,CA NWP,175,10000,0.0
Green Line,WAIT,US PWM,84,US PWM,261,10000,0.0
Green Line,WAIT,CA HAL,128,CA HAL,141,10000,0.0
Green Line,WAIT,CA HAL,141,CA HAL,343,10000,0.0
